game_id,reference,scheduled,status,season_year,season_type,home_id,home_alias,home_name,home_score,away_id,away_alias,away_name,away_score,home_q1,away_q1,home_q2,away_q2,home_q3,away_q3,home_q4,away_q4,home_ot1,away_ot1,home_ot2,away_ot2,home_ot3,away_ot3,home_ot4,away_ot4,elo_home_pre,elo_away_pre,elo_home_post,elo_away_post,elo_diff_pre
820c5325-360f-4b9e-a67c-77fe71338871,22500001,2025-10-21T23:30:00+00:00,closed,2025,REG,583ecfff-fb46-11e1-82cb-f4ce4684ea4c,OKC,Thunder,125,583ecb3a-fb46-11e1-82cb-f4ce4684ea4c,HOU,Rockets,124,27,30,24,27,24,22,29,25,11.0,11.0,10.0,9.0,,,,,1500.0,1500.0,1508.2900264265638,1491.7099735734362,0.0
64fdbf4b-0593-485b-b394-abce2b37d57d,22500002,2025-10-22T02:00:00+00:00,closed,2025,REG,583ecae2-fb46-11e1-82cb-f4ce4684ea4c,LAL,Lakers,109,583ec825-fb46-11e1-82cb-f4ce4684ea4c,GSW,Warriors,119,22,28,32,27,25,35,30,29,,,,,,,,,1500.0,1500.0,1488.2900264265638,1511.7099735734362,0.0
1b244e27-f093-40bb-88ec-69b23782cecb,22500080,2025-10-22T23:00:00+00:00,closed,2025,REG,583ec97e-fb46-11e1-82cb-f4ce4684ea4c,CHA,Hornets,136,583ec9d6-fb46-11e1-82cb-f4ce4684ea4c,BKN,Nets,117,38,32,39,28,34,37,25,20,,,,,,,,,1500.0,1500.0,1508.2900264265638,1491.7099735734362,0.0
ea0eb115-4d33-4004-b780-ab3e7eb8e0b5,22500081,2025-10-22T23:00:00+00:00,closed,2025,REG,583ed157-fb46-11e1-82cb-f4ce4684ea4c,ORL,Magic,125,583ecea6-fb46-11e1-82cb-f4ce4684ea4c,MIA,Heat,121,38,39,31,26,21,26,35,30,,,,,,,,,1500.0,1500.0,1508.2900264265638,1491.7099735734362,0.0
f6812d8c-35ce-4512-940c-94060d6bb942,22500003,2025-10-22T23:00:00+00:00,closed,2025,REG,583ec70e-fb46-11e1-82cb-f4ce4684ea4c,NYK,Knicks,119,583ec773-fb46-11e1-82cb-f4ce4684ea4c,CLE,Cavaliers,111,33,23,32,27,22,37,32,24,,,,,,,,,1500.0,1500.0,1508.2900264265638,1491.7099735734362,0.0
45740870-bc38-4839-945c-e4f24725b029,22500082,2025-10-22T23:30:00+00:00,closed,2025,REG,583ecb8f-fb46-11e1-82cb-f4ce4684ea4c,ATL,Hawks,118,583ecda6-fb46-11e1-82cb-f4ce4684ea4c,TOR,Raptors,138,34,36,25,29,28,45,31,28,,,,,,,,,1500.0,1500.0,1488.2900264265638,1511.7099735734362,0.0
f8e213c8-8826-4379-a924-4d0cdbb11c5c,22500083,2025-10-22T23:30:00+00:00,closed,2025,REG,583eccfa-fb46-11e1-82cb-f4ce4684ea4c,BOS,Celtics,116,583ec87d-fb46-11e1-82cb-f4ce4684ea4c,PHI,76ers,117,28,26,23,31,35,18,30,42,,,,,,,,,1500.0,1500.0,1488.2900264265638,1511.7099735734362,0.0
87ea2012-89e7-44b6-997d-e26b0c0259fa,22500085,2025-10-23T00:00:00+00:00,closed,2025,REG,583eca88-fb46-11e1-82cb-f4ce4684ea4c,MEM,Grizzlies,128,583ecc9a-fb46-11e1-82cb-f4ce4684ea4c,NOP,Pelicans,122,27,30,29,37,41,22,31,33,,,,,,,,,1500.0,1500.0,1508.2900264265638,1491.7099735734362,0.0
97f3d57a-7f8a-47c1-bcf3-f51ba252663f,22500084,2025-10-23T00:00:00+00:00,closed,2025,REG,583ec5fd-fb46-11e1-82cb-f4ce4684ea4c,CHI,Bulls,115,583ec928-fb46-11e1-82cb-f4ce4684ea4c,DET,Pistons,111,35,19,29,30,30,30,21,32,,,,,,,,,1500.0,1500.0,1508.2900264265638,1491.7099735734362,0.0
fd7b67bd-cbca-4e55-9a43-1da4f9b87c48,22500086,2025-10-23T00:00:00+00:00,closed,2025,REG,583ecefd-fb46-11e1-82cb-f4ce4684ea4c,MIL,Bucks,133,583ec8d4-fb46-11e1-82cb-f4ce4684ea4c,WAS,Wizards,120,40,23,32,30,29,37,32,30,,,,,,,,,1500.0,1500.0,1508.2900264265638,1491.7099735734362,0.0
